Temps (s),aX (m/s^2),aY (m/s^2),aZ (m/s^2)
0.00,0.23,-0.30,9.87
0.51,0.25,-0.29,9.87
1.01,0.25,-0.30,9.86
1.52,0.23,-0.31,9.86
2.02,0.24,-0.28,9.87
2.53,0.25,-0.29,10.18
3.03,0.24,-0.29,10.37
3.53,0.24,-0.29,10.38
4.04,0.26,-0.34,10.37
4.54,0.22,-0.27,10.08
5.05,0.23,-0.29,9.85
5.55,0.23,-0.29,9.85
6.05,0.23,-0.29,9.85
6.56,0.25,-0.32,9.85
7.06,0.25,-0.32,9.85
7.57,0.23,-0.27,9.84
8.07,0.25,-0.25,9.86
8.57,0.24,-0.28,9.85
9.08,0.24,-0.27,9.84
9.58,0.25,-0.25,9.84
10.09,0.22,-0.25,9.85
10.59,0.25,-0.25,9.86
11.10,0.21,-0.25,9.82
11.60,0.23,-0.31,9.87
12.11,0.25,-0.24,9.87
12.61,0.23,-0.27,9.86
13.12,0.24,-0.25,9.84
13.62,0.22,-0.28,9.88
14.13,0.23,-0.22,9.83
14.63,0.25,-0.26,9.90
15.14,0.24,-0.29,9.83
15.64,0.24,-0.28,9.84
16.14,0.29,-0.30,9.85
16.65,0.27,-0.30,9.86
17.15,0.27,-0.27,9.84
17.66,0.26,-0.26,9.85
18.16,0.23,-0.28,9.88
18.67,0.24,-0.34,9.90
19.17,0.26,-0.26,9.86
19.68,0.26,-0.29,9.90
20.18,0.24,-0.24,9.88
20.69,0.21,-0.23,9.86
21.19,0.29,-0.25,9.85
21.69,0.28,-0.25,9.84
22.20,0.27,-0.23,9.87
22.70,0.28,-0.22,9.87
23.21,0.29,-0.28,9.91
23.71,0.27,-0.26,9.88
24.22,0.25,-0.28,9.97
24.72,0.30,-0.26,9.87
25.23,0.26,-0.30,9.93
25.73,0.27,-0.21,9.57
26.24,0.28,-0.23,9.36
26.74,0.25,-0.24,9.36
27.25,0.31,-0.26,9.41
27.75,0.28,-0.25,9.70
28.26,0.28,-0.27,9.90
28.76,0.26,-0.27,9.88
29.27,0.25,-0.25,9.89
29.77,0.27,-0.27,9.87
30.27,0.26,-0.26,9.89
30.78,0.26,-0.26,9.90
31.28,0.26,-0.28,10.02
31.79,0.27,-0.26,9.82
32.29,0.26,-0.27,9.85
32.80,0.27,-0.25,9.85
33.30,0.27,-0.27,9.86
33.81,0.26,-0.26,9.84
34.31,0.27,-0.24,9.79
34.82,0.26,-0.28,9.90
35.32,0.26,-0.26,9.84
35.82,0.27,-0.27,9.85
36.33,0.29,-0.26,9.85
36.84,0.27,-0.27,9.86
37.34,0.28,-0.26,9.84
37.84,0.28,-0.27,9.85
38.35,0.27,-0.27,9.87
38.85,0.27,-0.27,9.87
39.36,0.27,-0.27,9.88
39.86,0.28,-0.27,9.88
40.37,0.27,-0.26,9.87
40.87,0.28,-0.24,9.83
41.38,0.27,-0.27,9.89
41.88,0.25,-0.23,9.81
42.39,0.28,-0.25,9.85
42.89,0.23,-0.27,9.94
43.39,0.24,-0.26,9.84
