Temps (s),aX (m/s^2),aY (m/s^2),aZ (m/s^2)
0.00,-0.13,-3.38,8.81
0.51,-0.16,-3.37,8.80
1.01,-0.15,-3.37,8.79
1.52,-0.16,-3.38,8.79
2.02,-0.16,-3.39,8.79
2.53,-0.15,-3.38,8.78
3.03,-0.16,-3.39,8.80
3.53,-0.15,-3.37,8.78
4.04,-0.16,-3.37,8.78
4.54,-0.15,-3.37,8.77
5.05,-0.16,-3.38,8.79
5.55,-0.17,-3.39,8.79
6.06,-0.15,-3.38,8.80
6.56,-0.15,-3.39,8.79
7.07,-0.15,-3.39,8.79
7.57,-0.16,-3.38,8.79
8.08,-0.17,-3.37,8.78
8.58,-0.15,-3.38,8.79
9.09,-0.16,-3.38,8.78
9.59,-0.16,-3.39,8.79
10.10,-0.15,-3.37,8.80
10.60,-0.16,-3.37,8.78
11.10,-0.17,-3.38,8.79
11.61,-0.16,-3.37,8.78
12.11,-0.15,-3.38,8.81
12.62,-0.15,-3.38,8.78
13.12,-0.15,-3.37,8.78
13.63,-0.16,-3.38,8.80
14.13,-0.15,-3.37,8.79
14.64,-0.16,-3.38,8.79
15.14,-0.16,-3.38,8.79
15.65,-0.17,-3.37,8.78
16.15,-0.16,-3.37,8.79
16.65,-0.16,-3.37,8.79
17.16,-0.15,-3.37,8.79
17.67,-0.17,-3.37,8.79
18.17,-0.16,-3.37,8.79
18.67,-0.17,-3.37,8.78
19.18,-0.16,-3.38,8.78
19.68,-0.17,-3.38,8.79
20.19,-0.17,-3.38,8.80
20.69,-0.16,-3.37,8.77
21.20,-0.14,-3.37,8.79
21.70,-0.15,-3.38,8.79
22.21,-0.16,-3.38,8.79
22.71,-0.16,-3.38,8.79
23.22,-0.16,-3.38,8.80
23.72,-0.15,-3.38,8.78
24.22,-0.15,-3.38,8.79
24.73,-0.15,-3.38,8.78
25.23,-0.15,-3.36,8.79
25.74,-0.16,-3.37,8.79
26.24,-0.16,-3.37,8.79
26.75,-0.17,-3.38,8.79
27.25,-0.16,-3.37,8.79
27.76,-0.15,-3.38,8.79
28.26,-0.16,-3.38,8.79
28.77,-0.16,-3.37,8.79
29.27,-0.15,-3.37,8.80
29.78,-0.16,-3.38,8.81
30.28,-0.16,-3.37,8.79
30.79,-0.17,-3.38,8.79
31.29,-0.15,-3.38,8.78
31.80,-0.16,-3.37,8.79
32.30,-0.16,-3.38,8.79
32.80,-0.16,-3.37,8.78
33.31,-0.15,-3.37,8.79
33.81,-0.17,-3.37,8.78
34.32,-0.16,-3.38,8.79
34.82,-0.16,-3.39,8.79
35.33,-0.16,-3.38,8.78
35.83,-0.16,-3.39,8.78
36.34,-0.16,-3.37,8.79
36.84,-0.16,-3.37,8.79
37.35,-0.15,-3.37,8.79
37.85,-0.17,-3.38,8.79
38.36,-0.16,-3.37,8.78
38.86,-0.15,-3.38,8.77
39.37,-0.16,-3.38,8.78
39.87,-0.15,-3.38,8.79
40.37,-0.15,-3.37,8.78
40.88,-0.15,-3.38,8.79
41.38,-0.16,-3.37,8.80
41.89,-0.15,-3.38,8.79
42.39,-0.16,-3.37,8.79
42.90,-0.16,-3.38,8.79
43.40,-0.15,-3.36,8.79
43.91,-0.15,-3.38,8.79
44.41,-0.15,-3.37,8.79
44.92,-0.16,-3.37,8.79
45.42,-0.15,-3.37,8.79
45.93,-0.15,-3.38,8.80
46.43,-0.15,-3.38,8.79
46.94,-0.15,-3.37,8.80
47.44,-0.15,-3.38,8.79
47.94,-0.16,-3.38,8.79
48.45,-0.15,-3.38,8.78
48.95,-0.16,-3.38,8.79
49.46,-0.15,-3.38,8.79
49.96,-0.15,-3.39,8.79
50.47,-0.15,-3.38,8.80
50.97,-0.16,-3.37,8.79
51.48,-0.16,-3.37,8.80
51.98,-0.16,-3.37,8.79
52.49,-0.16,-3.38,8.77
52.99,-0.16,-3.38,8.79
53.50,-0.16,-3.37,8.79
54.00,-0.16,-3.37,8.78
54.51,-0.16,-3.37,8.80
55.01,-0.16,-3.38,8.79
55.51,-0.17,-3.38,8.78
56.02,-0.17,-3.37,8.79
56.52,-0.17,-3.38,8.76
57.03,-0.15,-3.37,8.79
57.53,-0.16,-3.38,8.79
58.04,-0.16,-3.38,8.80
58.54,-0.15,-3.38,8.78
59.05,-0.15,-3.38,8.78
59.55,-0.16,-3.38,8.77
60.06,-0.16,-3.37,8.78
60.56,-0.16,-3.37,8.79
61.06,-0.15,-3.38,8.78
61.57,-0.15,-3.38,8.79
62.07,-0.17,-3.38,8.79
62.58,-0.17,-3.38,8.78
63.08,-0.15,-3.38,8.78
63.59,-0.16,-3.38,8.78
64.09,-0.15,-3.39,8.80
64.60,-0.15,-3.37,8.79
65.10,-0.16,-3.38,8.79
65.61,-0.16,-3.38,8.79
66.11,-0.16,-3.37,8.78
66.62,-0.17,-3.38,8.77
67.12,-0.15,-3.38,8.77
67.62,-0.16,-3.38,8.80
68.13,-0.15,-3.37,8.78
68.63,-0.17,-3.38,8.78
69.14,-0.15,-3.38,8.79
